#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  11800      2.13e+00    2.05e+00      8.17e-03    2.91e-02      4.33e-01    4.14e-01    2.3e-05
  11900      2.38e+00    2.02e+00      1.39e-02    1.77e-02      4.83e-01    4.10e-01    2.3e-05
  12000      1.92e+00    2.01e+00      2.79e-02    5.66e-03      4.55e-01    4.80e-01    1.7e-05
  12100      1.95e+00    1.64e+00      1.45e-02    2.07e-02      4.64e-01    3.90e-01    1.7e-05
  12200      1.64e+00    1.87e+00      1.78e-02    2.07e-02      3.91e-01    4.46e-01    1.7e-05
  12300      1.35e+00    2.21e+00      1.02e-02    6.86e-03      3.22e-01    5.28e-01    1.7e-05
  12400      2.28e+00    1.86e+00      2.81e-02    1.19e-03      5.42e-01    4.43e-01    1.7e-05
  12500      1.80e+00    1.40e+00      2.86e-02    1.29e-03      4.27e-01    3.34e-01    1.7e-05
  12600      1.98e+00    1.70e+00      2.41e-02    1.89e-02      4.71e-01    4.06e-01    1.7e-05
  12700      1.46e+00    1.99e+00      6.78e-03    2.91e-02      3.48e-01    4.72e-01    1.7e-05
  12800      1.93e+00    1.80e+00      1.42e-02    1.07e-02      4.61e-01    4.31e-01    1.7e-05
  12900      1.81e+00    1.74e+00      1.10e-03    5.05e-03      4.32e-01    4.16e-01    1.7e-05
  13000      1.69e+00    1.56e+00      7.24e-03    3.97e-03      4.73e-01    4.37e-01    1.2e-05
  13100      1.34e+00    1.46e+00      1.02e-02    1.04e-02      3.76e-01    4.09e-01    1.2e-05
  13200      1.76e+00    1.57e+00      3.10e-02    6.42e-04      4.88e-01    4.41e-01    1.2e-05
  13300      1.65e+00    1.42e+00      6.60e-03    1.32e-02      4.63e-01    3.98e-01    1.2e-05
  13400      1.57e+00    1.80e+00      1.10e-02    1.68e-02      4.39e-01    5.03e-01    1.2e-05
  13500      1.42e+00    9.35e-01      1.26e-04    3.55e-03      3.99e-01    2.62e-01    1.2e-05
  13600      1.64e+00    1.68e+00      1.07e-02    1.98e-03      4.59e-01    4.71e-01    1.2e-05
  13700      1.45e+00    1.30e+00      1.69e-02    1.13e-02      4.04e-01    3.62e-01    1.2e-05
  13800      1.51e+00    1.49e+00      2.34e-03    1.46e-02      4.24e-01    4.17e-01    1.2e-05
  13900      2.00e+00    1.52e+00      4.22e-03    9.75e-04      5.61e-01    4.26e-01    1.2e-05
