#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  14700      3.44e+00    2.00e+00      8.93e-05    4.36e-03      4.53e-01    2.63e-01    5.7e-05
  14800      2.49e+00    2.26e+00      1.38e-03    4.74e-03      3.28e-01    2.98e-01    5.7e-05
  14900      2.02e+00    1.95e+00      1.99e-03    7.93e-03      2.66e-01    2.57e-01    5.7e-05
  15000      1.95e+00    1.68e+00      8.78e-03    7.03e-03      2.84e-01    2.45e-01    4.6e-05
  15100      2.07e+00    1.72e+00      3.60e-03    1.24e-02      3.02e-01    2.50e-01    4.6e-05
  15200      1.54e+00    2.13e+00      3.89e-03    5.38e-03      2.24e-01    3.10e-01    4.6e-05
  15300      2.19e+00    1.35e+00      4.79e-03    8.98e-03      3.19e-01    1.96e-01    4.6e-05
  15400      2.01e+00    2.24e+00      2.22e-03    4.15e-03      2.93e-01    3.27e-01    4.6e-05
  15500      2.22e+00    2.84e+00      6.26e-03    8.45e-03      3.23e-01    4.14e-01    4.6e-05
  15600      2.00e+00    1.49e+00      6.10e-03    7.92e-03      2.92e-01    2.17e-01    4.6e-05
  15700      1.61e+00    2.09e+00      1.78e-03    5.00e-03      2.35e-01    3.04e-01    4.6e-05
  15800      1.29e+00    2.14e+00      1.04e-02    1.16e-02      1.88e-01    3.12e-01    4.6e-05
  15900      1.95e+00    2.07e+00      7.09e-03    2.15e-02      2.84e-01    3.01e-01    4.6e-05
  16000      7.78e-01    2.04e+00      4.49e-03    2.41e-03      1.25e-01    3.28e-01    3.8e-05
  16100      2.83e+00    1.08e+00      1.46e-02    1.06e-02      4.55e-01    1.73e-01    3.8e-05
  16200      1.92e+00    2.24e+00      2.26e-03    1.64e-02      3.10e-01    3.61e-01    3.8e-05
  16300      2.02e+00    1.98e+00      1.86e-02    6.78e-03      3.25e-01    3.19e-01    3.8e-05
  16400      1.47e+00    2.10e+00      1.16e-02    5.98e-03      2.36e-01    3.39e-01    3.8e-05
  16500      1.85e+00    1.58e+00      1.10e-02    8.68e-03      2.97e-01    2.55e-01    3.8e-05
  16600      2.05e+00    1.71e+00      1.48e-02    3.75e-04      3.31e-01    2.76e-01    3.8e-05
  16700      2.03e+00    1.84e+00      6.83e-04    1.44e-04      3.27e-01    2.96e-01    3.8e-05
  16800      1.76e+00    1.56e+00      7.65e-03    5.50e-03      2.83e-01    2.51e-01    3.8e-05
  16900      1.61e+00    1.81e+00      8.25e-03    7.68e-03      2.59e-01    2.92e-01    3.8e-05
  17000      2.11e+00    1.46e+00      1.47e-02    2.27e-03      3.75e-01    2.61e-01    3.1e-05
  17100      1.76e+00    1.72e+00      8.12e-03    1.15e-03      3.13e-01    3.05e-01    3.1e-05
  17200      1.53e+00    1.67e+00      5.24e-03    1.10e-02      2.72e-01    2.98e-01    3.1e-05
  17300      1.38e+00    1.73e+00      1.73e-03    1.60e-03      2.46e-01    3.08e-01    3.1e-05
  17400      1.11e+00    2.15e+00      8.61e-03    2.34e-03      1.98e-01    3.84e-01    3.1e-05
  17500      1.34e+00    1.92e+00      9.99e-03    2.67e-02      2.38e-01    3.41e-01    3.1e-05
  17600      1.47e+00    1.61e+00      2.39e-03    1.47e-02      2.62e-01    2.87e-01    3.1e-05
  17700      1.63e+00    1.36e+00      9.00e-06    6.94e-03      2.90e-01    2.41e-01    3.1e-05
  17800      1.43e+00    1.56e+00      7.23e-03    4.70e-03      2.54e-01    2.78e-01    3.1e-05
  17900      1.48e+00    1.58e+00      3.32e-03    4.49e-03      2.63e-01    2.81e-01    3.1e-05
  18000      1.64e+00    1.36e+00      1.25e-03    1.23e-03      3.22e-01    2.67e-01    2.5e-05
  18100      1.55e+00    1.52e+00      1.23e-02    9.95e-03      3.04e-01    2.99e-01    2.5e-05
  18200      1.39e+00    1.25e+00      1.95e-02    7.77e-03      2.71e-01    2.45e-01    2.5e-05
  18300      1.18e+00    1.55e+00      1.34e-02    1.58e-02      2.31e-01    3.04e-01    2.5e-05
  18400      1.21e+00    1.32e+00      5.77e-05    7.24e-04      2.37e-01    2.60e-01    2.5e-05
  18500      1.67e+00    1.34e+00      5.58e-03    6.09e-03      3.27e-01    2.63e-01    2.5e-05
  18600      1.48e+00    1.39e+00      1.44e-02    7.86e-03      2.91e-01    2.72e-01    2.5e-05
  18700      1.55e+00    1.51e+00      6.94e-03    1.92e-03      3.05e-01    2.97e-01    2.5e-05
  18800      1.53e+00    1.33e+00      1.03e-02    8.07e-04      3.01e-01    2.61e-01    2.5e-05
  18900      2.41e+00    1.56e+00      4.42e-03    1.00e-02      4.74e-01    3.06e-01    2.5e-05
  19000      7.31e-01    1.18e+00      7.64e-03    3.31e-03      1.58e-01    2.56e-01    2.0e-05
  19100      1.71e+00    1.32e+00      5.39e-03    2.28e-03      3.71e-01    2.86e-01    2.0e-05
  19200      1.30e+00    9.85e-01      8.05e-03    1.05e-02      2.81e-01    2.13e-01    2.0e-05
  19300      1.32e+00    1.22e+00      5.68e-03    3.50e-04      2.86e-01    2.64e-01    2.0e-05
  19400      1.35e+00    1.51e+00      2.25e-02    4.29e-03      2.89e-01    3.27e-01    2.0e-05
  19500      1.18e+00    1.46e+00      1.75e-03    1.34e-02      2.57e-01    3.16e-01    2.0e-05
  19600      1.26e+00    1.33e+00      6.07e-03    5.25e-03      2.72e-01    2.88e-01    2.0e-05
  19700      1.60e+00    1.38e+00      3.72e-03    1.07e-02      3.47e-01    2.99e-01    2.0e-05
  19800      1.43e+00    1.23e+00      4.25e-03    1.19e-02      3.10e-01    2.66e-01    2.0e-05
  19900      1.22e+00    1.19e+00      1.47e-02    9.94e-03      2.62e-01    2.57e-01    2.0e-05
  20000      1.30e+00    1.15e+00      1.09e-02    2.69e-04      3.10e-01    2.74e-01    1.7e-05
  20100      1.02e+00    1.22e+00      1.72e-03    1.47e-03      2.45e-01    2.92e-01    1.7e-05
  20200      1.22e+00    1.08e+00      2.83e-03    8.15e-03      2.91e-01    2.58e-01    1.7e-05
  20300      1.08e+00    1.30e+00      2.63e-03    8.90e-03      2.58e-01    3.09e-01    1.7e-05
  20400      1.00e+00    1.13e+00      6.47e-04    4.29e-04      2.39e-01    2.69e-01    1.7e-05
  20500      1.55e+00    1.31e+00      3.32e-03    5.50e-03      3.69e-01    3.12e-01    1.7e-05
  20600      1.19e+00    1.35e+00      6.03e-03    3.19e-03      2.83e-01    3.23e-01    1.7e-05
  20700      9.98e-01    9.98e-01      1.38e-03    1.03e-02      2.38e-01    2.38e-01    1.7e-05
  20800      1.22e+00    1.16e+00      2.07e-02    3.22e-03      2.89e-01    2.77e-01    1.7e-05
  20900      1.33e+00    5.82e-01      4.32e-03    4.18e-03      3.17e-01    1.39e-01    1.7e-05
  21000      1.16e+00    9.63e-01      3.20e-03    1.08e-02      3.06e-01    2.53e-01    1.3e-05
  21100      1.21e+00    1.19e+00      4.09e-03    2.09e-03      3.19e-01    3.12e-01    1.3e-05
  21200      1.17e+00    1.12e+00      7.88e-04    2.31e-03      3.07e-01    2.96e-01    1.3e-05
  21300      5.78e-01    1.26e+00      7.68e-03    2.37e-03      1.51e-01    3.32e-01    1.3e-05
  21400      7.63e-01    8.37e-01      1.26e-02    9.56e-03      1.99e-01    2.19e-01    1.3e-05
  21500      5.12e-01    8.71e-01      1.89e-03    1.53e-02      1.35e-01    2.27e-01    1.3e-05
  21600      1.31e+00    1.06e+00      1.23e-03    1.62e-03      3.45e-01    2.78e-01    1.3e-05
  21700      1.03e+00    1.34e+00      1.38e-02    2.28e-03      2.71e-01    3.53e-01    1.3e-05
  21800      1.14e+00    1.03e+00      6.92e-03    2.86e-03      2.99e-01    2.70e-01    1.3e-05
  21900      1.19e+00    9.70e-01      9.68e-03    7.94e-03      3.12e-01    2.55e-01    1.3e-05
  22000      8.01e-01    7.78e-01      4.84e-03    1.26e-02      2.32e-01    2.23e-01    1.1e-05
  22100      1.04e+00    7.96e-01      8.00e-03    6.23e-03      2.99e-01    2.30e-01    1.1e-05
